 ***********************************
   FLAT-PLATE BOUNDARY LAYER MACH 2 
 ***********************************
 Skin friction        =   2.181710264063887E-003
 Friction Mach number =   6.606754422217813E-002
 ***********************************
 Reynolds numbers:
 ***********************************
 Retau    =   998.088870124211     
 Redelta  =   62124.9353040017     
 Retheta  =   5315.42607954019     
 Redelta2 =   3389.65961438797     
 ***********************************
 Shape factors:
 ***********************************
 dstar/delta99 =   0.248992217365626     
 theta/delta99 =   8.556026744381663E-002
 H             =    2.91013837151838     
 Hinc          =    1.36554318455837     
 ***********************************
 Wall-normal profiles:              
 ***********************************

      y/delta99          y+            u+             u_vd+         urms+          vrms+           wrms+          uv+      sqrt(rho/rho_w)     prms+          trms+         rhorms+     y+ du_vd+/dy+      S(u)            S(T)           F(u)           F(T)           omx+           omy+           omz+

      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      1.0000000      2.8880947      0.0000177      0.0176488      0.0000000      1.1103864     -1.2524068      5.2736332      5.0814016      0.2692914      0.0000000      0.4238922
      0.0007567      0.7552815      0.7561169      0.7562613      0.3191661      0.0086730      0.1968839     -0.0008293      1.0003820      2.8736043      0.3406224      0.0164644      0.8445208      1.1103864     -1.2524068      5.2736332      5.0814016      0.2429581      0.0257114      0.4207656
      0.0015136      1.5107095      1.5115307      1.5122942      0.6341424      0.0259413      0.3626649     -0.0051378      1.0012570      2.8816037      0.7440083      0.0156579      1.4849498      1.1250892     -1.6389347      5.2252013     10.7835788      0.2005048      0.0514005      0.4174970
      0.0022708      2.2664306      2.2633136      2.2655129      0.9426746      0.0500804      0.4997189     -0.0158242      1.0025627      2.8719213      1.1847447      0.0154744      2.2496148      1.1054219     -1.8950493      5.0004359     11.4184558      0.1702103      0.0765956      0.4113087
      0.0030284      3.0225914      3.0061538      3.0109017      1.2385930      0.0799445      0.6140363     -0.0353322      1.0042991      2.8855904      1.6832559      0.0164397      2.9542873      1.0483508     -1.9976211      4.6213476     11.1355525      0.1501062      0.1004660      0.3990755
      0.0037866      3.7793386      3.7331700      3.7418123      1.5142673      0.1122773      0.7095481     -0.0640801      1.0064143      2.8841247      2.2365404      0.0183747      3.6005406      0.9637813     -1.9765722      4.1827532     10.1653457      0.1400738      0.1222211      0.3816778
      0.0045455      4.5368190      4.4370758      4.4511012      1.7631740      0.1468502      0.7904158     -0.1015418      1.0088806      2.9036971      2.8270674      0.0213553      4.1674997      0.8640483     -1.8820026      3.7621380      8.9605077      0.1382142      0.1413333      0.3619625
      0.0053053      5.2951796      5.1112675      5.1322023      1.9813415      0.1816990      0.8592209     -0.1455621      1.0116161      2.9091019      3.4320566      0.0248761      4.6411261      0.7593049     -1.7544065      3.3985527      7.8092462      0.1416042      0.1575997      0.3428708
      0.0060662      6.0545676      5.7505310      5.7798374      2.1673703      0.2172026      0.9187146     -0.1941988      1.0145755      2.9330882      4.0306213      0.0288644      5.0156390      0.6561769     -1.6180496      3.1031336      6.8195505      0.1475952      0.1710637      0.3263468
