 ***********************************
   FLAT-PLATE BOUNDARY LAYER MACH 2 
 ***********************************
 Skin friction        =   1.852781024538684E-003
 Friction Mach number =   9.138697397027216E-002
 ***********************************
 Reynolds numbers:
 ***********************************
 Retau    =   501.959480429549     
 Redelta  =   63885.4869184169     
 Retheta  =   4342.89963292213     
 Redelta2 =   1815.74455412960     
 ***********************************
 Shape factors:
 ***********************************
 dstar/delta99 =   0.320637711489791     
 theta/delta99 =   6.797944012648920E-002
 H             =    4.71668655836501     
 Hinc          =    1.40930370967495     
 ***********************************
 Wall-normal profiles:              
 ***********************************

      y/delta99          y+            u+             u_vd+         urms+          vrms+           wrms+          uv+      sqrt(rho/rho_w)     prms+          trms+         rhorms+     y+ du_vd+/dy+      S(u)            S(T)           F(u)           F(T)           omx+           omy+           omz+

      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      1.0000000      2.7355270      0.0000957      0.0319844      0.0000000      1.0214568     -0.9207599      4.9372669      7.5378379      0.2649251      0.0000000      0.4111382
      0.0013247      0.6649685      0.6661071      0.6663232      0.2724342      0.0108393      0.1707155     -0.0007790      1.0006487      2.7235026      0.3005178      0.0298949      0.7443415      1.0214568     -0.9207599      4.9372669      7.5378379      0.2399411      0.0238929      0.4076453
      0.0026501      1.3302352      1.3324338      1.3335430      0.5412066      0.0244664      0.3155350     -0.0041132      1.0020322      2.7240482      0.6266991      0.0283911      1.3121353      1.0512756     -1.2904621      4.9573388      8.6400014      0.2001247      0.0479127      0.4052202
      0.0039766      1.9960984      1.9977871      2.0009319      0.8065223      0.0432371      0.4371264     -0.0118997      1.0040866      2.7147383      0.9776230      0.0278362      1.9977623      1.0549392     -1.6014369      4.8567984      9.7307340      0.1707372      0.0718451      0.4029060
      0.0053049      2.6628568      2.6593618      2.6661159      1.0655197      0.0670227      0.5397100     -0.0260679      1.0068244      2.7195585      1.3745853      0.0289592      2.6452681      1.0263719     -1.8031530      4.6136148     10.2587665      0.1491696      0.0951532      0.3969467
      0.0066356      3.3308094      3.3129203      3.3252413      1.3131682      0.0939114      0.6263857     -0.0474969      1.0102112      2.7178225      1.8227526      0.0318380      3.2604879      0.9687196     -1.8843965      4.2734098     10.0359023      0.1362717      0.1171887      0.3862484
      0.0079693      4.0002558      3.9533214      3.9734698      1.5439598      0.1232047      0.7001834     -0.0762843      1.0142345      2.7283659      2.3137959      0.0366806      3.8257309      0.8899345     -1.8696627      3.9003995      9.3075177      0.1315629      0.1373834      0.3718377
      0.0093065      4.6714960      4.5751958      4.6056206      1.7532553      0.1535601      0.7632866     -0.1113959      1.0188153      2.7332010      2.8315216      0.0429930      4.3253255      0.7987795     -1.7932670      3.5431042      8.3650274      0.1331987      0.1553557      0.3558070
      0.0106479      5.3448313      5.1735680      5.2167726      1.9379700      0.1848151      0.8178224     -0.1514963      1.0238998      2.7479045      3.3577583      0.0505114      4.7480959      0.7024883     -1.6838658      3.2284743      7.4055032      0.1387527      0.1709241      0.3402602
      0.0119941      6.0205635      5.7443274      5.8027344      2.0967684      0.2161258      0.8652405     -0.1947419      1.0293706      2.7571190      3.8756190      0.0586623      5.0884158      0.6062302     -1.5610965      2.9666737      6.5323158      0.1461582      0.1840790      0.3266583
      0.0133457      6.6989957      6.2844687      6.3603017      2.2297932      0.2475827      0.9069407     -0.2396104      1.0351536      2.7742209      4.3715899      0.0672281      5.3460825      0.5132613     -1.4367083      2.7576139      5.7833990      0.1540320      0.1949331      0.3156200
      0.0147032      7.3804321      6.7921640      6.8873592      2.3383484      0.2786300      0.9438106     -0.2844818      1.0411212      2.7862880      4.8358429      0.0757951      5.5253964      0.4254428     -1.3170590      2.5961686      5.1605130      0.1615942      0.2036781      0.3070529
