 ***********************************
   FLAT-PLATE BOUNDARY LAYER MACH 2 
 ***********************************
 Skin friction        =   3.189113759049216E-003
 Friction Mach number =   8.015181797633535E-002
 ***********************************
 Reynolds numbers:
 ***********************************
 Retau    =   251.850235526004     
 Redelta  =   13011.7949333293     
 Retheta  =   1121.75670367170     
 Redelta2 =   715.346866473262     
 ***********************************
 Shape factors:
 ***********************************
 dstar/delta99 =   0.265837716667336     
 theta/delta99 =   8.621075796378881E-002
 H             =    3.08357939248135     
 Hinc          =    1.51002697098228     
 ***********************************
 Wall-normal profiles:              
 ***********************************

      y/delta99          y+            u+             u_vd+         urms+          vrms+           wrms+          uv+      sqrt(rho/rho_w)     prms+          trms+         rhorms+     y+ du_vd+/dy+      S(u)            S(T)           F(u)           F(T)           omx+           omy+           omz+

      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      1.0000000      2.2719551      0.0000830      0.0204341      0.0000000      0.9407449     -0.7172913      4.3354564      0.0842663      0.2488215      0.0000000      0.3994869
      0.0023119      0.5822596      0.5826889      0.5827609      0.2320374      0.0059209      0.1410915     -0.0004474      1.0002472      2.2631334      0.2152794      0.0192463      0.6507910      0.9407449     -0.7172913      4.3354564      0.0842663      0.2289428      0.0200679      0.3970094
      0.0046251      1.1648294      1.1654760      1.1658819      0.4618546      0.0159434      0.2639618     -0.0025345      1.0008988      2.2650560      0.4605373      0.0182517      1.1462851      0.9607066     -1.0233988      4.3439176      7.3507995      0.1957902      0.0402009      0.3948700
      0.0069407      1.7480195      1.7477950      1.7490242      0.6895989      0.0307146      0.3695561     -0.0076145      1.0019286      2.2581529      0.7149889      0.0176495      1.7456392      0.9657398     -1.3015904      4.2966152      8.2369635      0.1697077      0.0603143      0.3931449
      0.0092600      2.3321405      2.3281663      2.3309256      0.9138873      0.0498188      0.4606686     -0.0171104      1.0033443      2.2633606      0.9971207      0.0178334      2.3159609      0.9509889     -1.5112215      4.1733547      8.6494265      0.1488396      0.0801532      0.3892887
      0.0115843      2.9175035      2.9042485      2.9094480      1.1319571      0.0717255      0.5393301     -0.0319352      1.0051276      2.2615247      1.3170931      0.0187936      2.8669549      0.9162867     -1.6347002      3.9813259      8.6645765      0.1338005      0.0993672      0.3821300
      0.0139147      3.5044204      3.4730327      3.4817603      1.3403497      0.0959943      0.6075972     -0.0526411      1.0072778      2.2704790      1.6758978      0.0207907      3.3872484      0.8643361     -1.6784508      3.7448761      8.3150438      0.1249239      0.1175899      0.3717001
      0.0162525      4.0932035      4.0311361      4.0446180      1.5356325      0.1215549      0.6669792     -0.0790024      1.0097599      2.2732714      2.0676169      0.0235997      3.8654834      0.7994954     -1.6618807      3.4925470      7.7440943      0.1218007      0.1345086      0.3589486
      0.0185990      4.6841666      4.5751176      4.5946696      1.7149053      0.1482857      0.7190427     -0.1105248      1.0125573      2.2855416      2.4826019      0.0272226      4.2918604      0.7263066     -1.6057323      3.2473829      7.0856738      0.1232537      0.1498973      0.3452601
      0.0209554      5.2776243      5.1017710      5.1287421      1.8761380      0.1754609      0.7648933     -0.1461260      1.0156169      2.2922134      2.9096789      0.0313243      4.6592449      0.6487434     -1.5267256      3.0240510      6.4309737      0.1277688      0.1636265      0.3319990
      0.0233230      5.8738927      5.6083461      5.6440623      2.0182223      0.2031432      0.8056696     -0.1848021      1.0189101      2.3071214      3.3380652      0.0358569      4.9637295      0.5698817     -1.4364191      2.8298568      5.8260130      0.1339749      0.1756534      0.3201945
      0.0257029      6.4732893      6.0926920      6.1384060      2.1409515      0.2308192      0.8421232     -0.2252409      1.0223737      2.3168345      3.7582229      0.0405343      5.2045947      0.4919467     -1.3422651      2.6669708      5.2890607      0.1408527      0.1860068      0.3103810
      0.0280966      7.0761335      6.5533081      6.6101577      2.2448239      0.2586339      0.8750346     -0.2664924      1.0259770      2.3336474      4.1625172      0.0453443      5.3839758      0.4164495     -1.2487800      2.5345073      4.8236074      0.1477462      0.1947667      0.3026219
      0.0305052      7.6827461      6.9893435      7.0583223      2.3308984      0.2861988      0.9048771     -0.3074529      1.0296568      2.3455976      4.5452020      0.0500686      5.5061625      0.3443495     -1.1585917      2.4299143      4.4257435      0.1542644      0.2020477      0.2966359
      0.0329301      8.2934503      7.4005238      7.4824643      2.4005617      0.3136805      0.9321580     -0.3475079      1.0333895      2.3636082      4.9024173      0.0547353      5.5769018      0.2762042     -1.0730862      2.3499688      4.0884898      0.1602140      0.2079825      0.2919753
      0.0353725      8.9085714      7.7870743      7.8826423      2.4554095      0.3407660      0.9571520     -0.3859099      1.0371185      2.3770453      5.2318432      0.0591806      5.6027564      0.2122759     -0.9929140      2.2912714      3.8040151      0.1655141      0.2127115      0.2881724
      0.0378337      9.5284368      8.1496091      8.2593070      2.4970769      0.3676141      0.9801779     -0.4224099      1.0408320      2.3955830      5.5324940      0.0634633      5.5904594      0.1526313     -0.9182647      2.2506076      3.5647462      0.1701625      0.2163728      0.2848245
      0.0403151     10.1533768      8.4890380      8.6132150      2.5271865      0.3939631      1.0013881     -0.4565762      1.0444829      2.4098071      5.8043422      0.0674595      5.5466038      0.0971938     -0.8490805      2.2250313      3.3638211      0.1741845      0.2190978      0.2816333
      0.0428180     10.7837242      8.8064729      8.9453399      2.5472495      0.4199539      1.0209868     -0.4884322      1.0480715      2.4282507      6.0481177      0.0712472      5.4772979      0.0458032     -0.7851460      2.2119667      3.1952751      0.1776308      0.2210073      0.2784032
      0.0453437     11.4198146      9.1031544      9.2568008      2.5586690      0.4453655      1.0390623     -0.5177590      1.0515599      2.4426277      6.2650132      0.0747294      5.3880392     -0.0017638     -0.7261685      2.2091671      3.0540197      0.1805500      0.2222107      0.2750281
      0.0478935     12.0619869      9.3803884      9.5488001      2.5626900      0.4703203      1.0557542     -0.5447413      1.0549586      2.4604301      6.4565530      0.0779933      5.2836853     -0.0457528     -0.6717977      2.2147406      2.9357302      0.1830004      0.2228048      0.2714697
      0.0504688     12.7105830      9.6395040      9.8225811      2.5604324      0.4946322      1.0711231     -0.5692840      1.0582372      2.4744136      6.6244140      0.0809594      5.1684335     -0.0864281     -0.6216649      2.2270787      2.8367409      0.1850280      0.2228751      0.2677354
      0.0530710     13.3659484      9.8818146     10.0793880      2.5528668      0.5184082      1.0852760     -0.5916526      1.0614140      2.4911232      6.7703748      0.0837170      5.0458085     -0.1240420     -0.5754008      2.2448490      2.7540036      0.1866797      0.2224961      0.2638521
      0.0557015     14.0284320     10.1085950     10.3204417      2.5408541      0.5414929      1.0982654     -0.6118170      1.0644639      2.5042668      6.8962228      0.0861990      4.9187504     -0.1588384     -0.5326635      2.2669236      2.6850015      0.1879888      0.2217322      0.2598541
      0.0583616     14.6983867     10.3210630     10.5469193      2.5251304      0.5639807      1.1101797     -0.6300680      1.0674108      2.5195293      7.0037392      0.0884929      4.7896324     -0.1910282     -0.4931417      2.2923750      2.6276421      0.1889919      0.2206392      0.2557694
      0.0610528     15.3761693     10.5203677     10.7599406      2.5063421      0.5857434      1.1210673     -0.6464000      1.0702332      2.5314769      7.0946355      0.0905412      4.6603260     -0.2207981     -0.4565571      2.3204354      2.5801990      0.1897173      0.2192650      0.2516231
