 ***********************************
   FLAT-PLATE BOUNDARY LAYER MACH 2 
 ***********************************
 Skin friction        =   2.279307660046434E-003
 Friction Mach number =   6.752529887873063E-002
 ***********************************
 Reynolds numbers:
 ***********************************
 Retau    =   842.642783700615     
 Redelta  =   51311.8894615299     
 Retheta  =   4430.57168733266     
 Redelta2 =   2825.38590368309     
 ***********************************
 Shape factors:
 ***********************************
 dstar/delta99 =   0.253127220607683     
 theta/delta99 =   8.634590801132754E-002
 H             =    2.93154854048759     
 Hinc          =    1.37600389989376     
 ***********************************
 Wall-normal profiles:              
 ***********************************

      y/delta99          y+            u+             u_vd+         urms+          vrms+           wrms+          uv+      sqrt(rho/rho_w)     prms+          trms+         rhorms+     y+ du_vd+/dy+      S(u)            S(T)           F(u)           F(T)           omx+           omy+           omz+

      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      1.0000000      2.8190033      0.0000189      0.0179952      0.0000000      1.0871073     -1.2478376      5.1982972      6.0446034      0.2658373      0.0000000      0.4203010
      0.0009162      0.7720245      0.7729473      0.7731030      0.3234522      0.0090943      0.1985428     -0.0008842      1.0004029      2.8039572      0.3423075      0.0167355      0.8633425      1.0871073     -1.2478376      5.1982972      6.0446034      0.2393371      0.0263375      0.4171524
      0.0018326      1.5441987      1.5451457      1.5459742      0.6425568      0.0268888      0.3651204     -0.0054676      1.0013395      2.8121062      0.7483261      0.0158967      1.5179235      1.1017029     -1.6465649      5.1504428     11.1268426      0.1966939      0.0526450      0.4138961
      0.0027493      2.3166726      2.3133787      2.3157760      0.9548327      0.0517021      0.5022263     -0.0168075      1.0027449      2.8020243      1.1949489      0.0157549      2.2985377      1.0798372     -1.9075099      4.9183631     11.8247948      0.1665192      0.0784127      0.4074962
      0.0036666      3.0895959      3.0718545      3.0770443      1.2536152      0.0823407      0.6160985     -0.0374314      1.0046184      2.8160439      1.7024453      0.0168827      3.0156236      1.0187324     -2.0029681      4.5273024     11.3822489      0.1469866      0.1027486      0.3948540
      0.0045845      3.8631186      3.8131386      3.8225986      1.5308338      0.1154220      0.7108316     -0.0676529      1.0069024      2.8145583      2.2658628      0.0190685      3.6697037      0.9294261     -1.9698251      4.0785400     10.2388576      0.1378939      0.1248173      0.3771361
      0.0055034      4.6373908      4.5294539      4.5448116      1.7797986      0.1507270      0.7907667     -0.1067833      1.0095644      2.8347452      2.8655888      0.0223590      4.2389468      0.8253920     -1.8640115      3.6541142      8.9221583      0.1370408      0.1440807      0.3574114
      0.0064233      5.4125626      5.2138600      5.2367725      1.9966410      0.1862335      0.8585671     -0.1524411      1.0125126      2.8403804      3.4773381      0.0261965      4.7091991      0.7173624     -1.7278744      3.2935937      7.7091930      0.1412605      0.1603512      0.3386450
      0.0073445      6.1887846      5.8609899      5.8930295      2.1802090      0.2223530      0.9170598     -0.2025374      1.0156954      2.8650504      4.0794352      0.0304942      5.0752908      0.6120214     -1.5857462      3.0061121      6.6919817      0.1478124      0.1736987      0.3226804
      0.0082671      6.9662072      6.4673627      6.5099251      2.3316340      0.2577774      0.9677988     -0.2543332      1.0190121      2.8755126      4.6547980      0.0348185      5.3400631      0.5130535     -1.4496223      2.7862385      5.8728456      0.1549155      0.1843586      0.3100815
      0.0091913      7.7449813      7.0313195      7.0855645      2.4534077      0.2930996      1.0125056     -0.3062031      1.0224187      2.9024845      5.1920269      0.0391892      5.5122369      0.4221371     -1.3244341      2.6235669      5.2236939      0.1616310      0.1926430      0.3004728
      0.0101173      8.5252581      7.5527753      7.6195993      2.5488649      0.3273814      1.0520037     -0.3562306      1.0258269      2.9156317      5.6842659      0.0433174      5.6039883      0.3397818     -1.2116456      2.5070380      4.7113903      0.1675437      0.1988878      0.2930539
      0.0110452      9.3071888      8.0328488      8.1128848      2.6215059      0.3612063      1.0873120     -0.4037586      1.0292147      2.9431024      6.1286205      0.0473000      5.6288727      0.2658112     -1.1110064      2.4267596      4.3064975      0.1725418      0.2034136      0.2870106
      0.0119753     10.0909251      8.4735183      8.5671552      2.6748206      0.3938484      1.1188481     -0.4477535      1.0325138      2.9573945      6.5247400      0.0509340      5.6003533      0.1996856     -1.0215712      2.3743662      3.9851507      0.1766446      0.2065129      0.2817124
      0.0129077     10.8766192      8.8772934      8.9847069      2.7119506      0.4258214      1.1472382     -0.4883068      1.0357251      2.9841182      6.8742803      0.0543552      5.5307610      0.1407189     -0.9421230      2.3432094      3.7286848      0.1799402      0.2084404      0.2767448
      0.0138427     11.6644234      9.2469682      9.3681563      2.7357452      0.4565451      1.1727164     -0.5249524      1.0387981      2.9984791      7.1799427      0.0574079      5.4308226      0.0881779     -0.8714664      2.3280354      3.5228260      0.1825291      0.2094143      0.2718806
      0.0147803     12.4544907      9.5854211      9.7202405      2.7486085      0.4864595      1.1957079     -0.5581768      1.0417520      3.0235775      7.4452147      0.0602439      5.3094651      0.0413796     -0.8084950      2.3248732      3.3567154      0.1845208      0.2096165      0.2670147
      0.0157207     13.2469742      9.8954903     10.0436891      2.7526384      0.5150979      1.2163774     -0.5877834      1.0445482      3.0372096      7.6737952      0.0627345      5.1739937     -0.0003123     -0.7522644      2.3306386      3.2221434      0.1860020      0.2091983      0.2621170
      0.0166643     14.0420277     10.1798862     10.3411341      2.7495497      0.5428377      1.2350422     -0.6143978      1.0472182      3.0600690      7.8695139      0.0650338      5.0301543     -0.0374408     -0.7019442      2.3430254      3.1127678      0.1870454      0.2082829      0.2571873
      0.0176110     14.8398055     10.4411421     10.6150541      2.7408153      0.5693058      1.2518346     -0.6379244      1.0497303      3.0723962      8.0360016      0.0670289      4.8823908     -0.0704973     -0.6568275      2.3602235      3.0236858      0.1877052      0.2069717      0.2522490
      0.0185612     15.6404624     10.6815884     10.8677456      2.7276137      0.5948296      1.2669926     -0.6589964      1.0521233      3.0926292      8.1767326      0.0688680      4.7340479     -0.0998896     -0.6163010      2.3808779      2.9510877      0.1880391      0.2053466      0.2473298
      0.0195150     16.4441536     10.9033450     11.1013098      2.7109502      0.6191137      1.2806192     -0.6775403      1.0543683      3.1032676      8.2948543      0.0704481      4.5876180     -0.1259850     -0.5798414      2.4039082      2.8919435      0.1880938      0.2034749      0.2424580
      0.0204725     17.2510351     11.1083265     11.3176551      2.6916159      0.6424448      1.2928924     -0.6941349      1.0565078      3.1206705      8.3932626      0.0719073      4.4448501     -0.1490844     -0.5469837      2.4284982      2.8438201      0.1879141      0.2014111      0.2376568
      0.0214341     18.0612635     11.2982482     11.5184994      2.6702863      0.6645888      1.3038981     -0.7087020      1.0585139      3.1293914      8.4745073      0.0731497      4.3070044     -0.1694662     -0.5173268      2.4539966      2.8047594      0.1875284      0.1992000      0.2329472
      0.0223998     18.8749959     11.4746469     11.7053889      2.6474863      0.6857974      1.3137736     -0.7217501      1.0604303      3.1439116      8.5408833      0.0743021      4.1748400     -0.1873639     -0.4905150      2.4799195      2.7731968      0.1869632      0.1968775      0.2283364
      0.0233698     19.6923902     11.6388856     11.8797003      2.6236676      0.7058855      1.3225884     -0.7331927      1.0622287      3.1506322      8.5943805      0.0752749      4.0488045     -0.2029978     -0.4662351      2.5058798      2.7478569      0.1862440      0.1944731      0.2238260
      0.0243444     20.5136050     11.7921808     12.0426669      2.5991754      0.7250757      1.3304447     -0.7434630      1.0639530      3.1623568      8.6367749      0.0761831      3.9291096     -0.2165564     -0.4442095      2.5315959      2.7276582      0.1854047      0.1920096      0.2194172
      0.0253237     21.3387996     11.9356064     12.1953813      2.5743058      0.7432222      1.3374032     -0.7524619      1.0655738      3.1671230      8.6695899      0.0769427      3.8156942     -0.2282259     -0.4241994      2.5568405      2.7117037      0.1844657      0.1895058      0.2151153
      0.0263079     22.1681341     12.0701163     12.3388165      2.5492795      0.7605218      1.3435510     -0.7605484      1.0671345      3.1762392      8.6941636      0.0776576      3.7084063     -0.2381743     -0.4059951      2.5814239      2.6992475      0.1834447      0.1869761      0.2109300
