 ***********************************
   FLAT-PLATE BOUNDARY LAYER MACH 2 
 ***********************************
 Skin friction        =   2.006164903830794E-003
 Friction Mach number =   9.507197652546089E-002
 ***********************************
 Reynolds numbers:
 ***********************************
 Retau    =   402.512430457859     
 Redelta  =   49221.3950369963     
 Retheta  =   3311.42464480604     
 Redelta2 =   1384.49003515550     
 ***********************************
 Shape factors:
 ***********************************
 dstar/delta99 =   0.321497167146356     
 theta/delta99 =   6.727612336702496E-002
 H             =    4.77877069985778     
 Hinc          =    1.42731738194413     
 ***********************************
 Wall-normal profiles:              
 ***********************************

      y/delta99          y+            u+             u_vd+         urms+          vrms+           wrms+          uv+      sqrt(rho/rho_w)     prms+          trms+         rhorms+     y+ du_vd+/dy+      S(u)            S(T)           F(u)           F(T)           omx+           omy+           omz+

      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      1.0000000      2.5713019      0.0000884      0.0325377      0.0000000      1.0057588     -0.8695152      4.8191494      7.6415842      0.2557275      0.0000000      0.4075316
      0.0017194      0.6920859      0.6932865      0.6935116      0.2810021      0.0131092      0.1712497     -0.0008951      1.0006493      2.5573704      0.2974004      0.0302574      0.7746812      1.0057588     -0.8695152      4.8191494      7.6415842      0.2304700      0.0252357      0.4039393
      0.0034396      1.3844821      1.3866735      1.3878653      0.5580560      0.0277646      0.3153201     -0.0046416      1.0021392      2.5566219      0.6164277      0.0286941      1.3653692      1.0350193     -1.2750776      4.8336767      8.9212405      0.1905054      0.0506206      0.4016151
      0.0051613      2.0774993      2.0787538      2.0822126      0.8313809      0.0472185      0.4352456     -0.0133269      1.0044119      2.5452685      0.9643329      0.0282683      2.0779419      1.0365405     -1.6186925      4.7286442     10.2826128      0.1614735      0.0759210      0.3992947
      0.0068854      2.7714481      2.7662431      2.7737906      1.0976081      0.0716653      0.5356189     -0.0290515      1.0074827      2.5495986      1.3649794      0.0298480      2.7487032      1.0043278     -1.8278991      4.4822469     10.8143148      0.1409157      0.1005231      0.3929137
      0.0086125      3.4666397      3.4442166      3.4581357      1.3509333      0.0992986      0.6197737     -0.0526381      1.0113133      2.5477117      1.8218861      0.0335062      3.3820286      0.9418050     -1.8914047      4.1385014     10.3320541      0.1297495      0.1236713      0.3814944
      0.0103435      4.1633861      4.1067811      4.1297102      1.5851825      0.1293629      0.6909787     -0.0839901      1.0158843      2.5593932      2.3235742      0.0393830      3.9581217      0.8576803     -1.8473097      3.7640656      9.2560263      0.1271924      0.1447076      0.3664514
      0.0120791      4.8619995      4.7479040      4.7826892      1.7953866      0.1604816      0.7515746     -0.1217517      1.0211011      2.5652732      2.8510256      0.0468483      4.4600778      0.7615426     -1.7436322      3.4103400      8.0568429      0.1308777      0.1632114      0.3501918
      0.0138202      5.5627934      5.3621427      5.4116678      1.9784827      0.1924912      0.8038310     -0.1642980      1.0268929      2.5814898      3.3842071      0.0555737      4.8766072      0.6610383     -1.6147944      3.1038386      6.9730103      0.1380385      0.1790098      0.3349218
      0.0155674      6.2660819      5.9451645      6.0121839      2.1334216      0.2245031      0.8492539     -0.2095212      1.0331195      2.5916598      3.9051878      0.0649304      5.2029754      0.5614091     -1.4801124      2.8529268      6.0647740      0.1465497      0.1921324      0.3219971
      0.0173217      6.9721806      6.4939789      6.5809770      2.2607757      0.2566161      0.8892712     -0.2557615      1.0396872      2.6097975      4.4000470      0.0746721      5.4405929      0.4658319     -1.3492557      2.6559980      5.3267938      0.1550964      0.2027421      0.3118050
      0.0190836      7.6814059      7.0069717      7.1160627      2.3623324      0.2882357      0.9247377     -0.3013125      1.0464460      2.6224228      4.8590027      0.0843500      5.5957417      0.3760305     -1.2266921      2.5069137      4.7351968      0.1629782      0.2110800      0.3040319
      0.0208542      8.3940761      7.4837567      7.6166300      2.4405574      0.3195431      0.9564838     -0.3451899      1.0533149      2.6415979      5.2762818      0.0938633      5.6778943      0.2927564     -1.1140689      2.3981967      4.2632074      0.1698859      0.2174198      0.2980297
      0.0226341      9.1105107      7.9249596      8.0828664      2.4982821      0.3501217      0.9849482     -0.3863968      1.0601639      2.6560083      5.6492561      0.1029146      5.6981471      0.2161824     -1.0116887      2.3225573      3.8872757      0.1757557      0.2220414      0.2931176
      0.0244242      9.8310310      8.3319552      8.5157284      2.5383538      0.3801525      1.0105993     -0.4246343      1.0669450      2.6757413      5.9777913      0.1115184      5.6679246      0.1461426     -0.9191272      2.2735810      3.5877153      0.1806414      0.2252101      0.2887462
      0.0262252     10.5559601      8.7066347      8.9167299      2.5635154      0.4093253      1.0336663     -0.4594683      1.0735593      2.6911347      6.2633716      0.1194832      5.5980435      0.0822897     -0.8356403      2.2458169      3.3485831      0.1846467      0.2271666      0.2845481
      0.0280379     11.2856231      9.0511865      9.2877352      2.5762381      0.4377962      1.0544460     -0.4910382      1.0799940      2.7106047      6.5086002      0.1268946      5.4981739      0.0241932     -0.7603589      2.2348088      3.1573000      0.1878779      0.2281214      0.2803038
      0.0298633     12.0203472      9.3679430      9.6308100      2.5787338      0.4653257      1.0730910     -0.5192255      1.0861792      2.7259323      6.7166467      0.1336236      5.3766581     -0.0286074     -0.6924048      2.2369410      3.0039444      0.1904313      0.2282543      0.2759098
      0.0317020     12.7604621      9.6592540      9.9480927      2.5728943      0.4920424      1.0898197     -0.5443789      1.0921302      2.7442161      6.8909897      0.1397924      5.2404505     -0.0765667     -0.6309349      2.2493471      2.8806988      0.1923879      0.2277158      0.2713335
      0.0335550     13.5062994      9.9274106     10.2417148      2.5603522      0.5177633      1.1047543     -0.5665279      1.0977989      2.7585154      7.0351383      0.1453131      5.0951937     -0.1201277     -0.5752124      2.2697003      2.7816673      0.1938272      0.2266305      0.2665984
      0.0354230     14.2581938     10.1745849     10.5137323      2.5424629      0.5425959      1.1180689     -0.5860817      1.1032199      2.7748918      7.1525286      0.1503272      4.9452793     -0.1597016     -0.5245854      2.2961327      2.7021890      0.1948262      0.2251007      0.2617481
      0.0373069     15.0164824     10.4028012     10.7660916      2.5203752      0.5664033      1.1298717     -0.6031154      1.1083589      2.7875238      7.2463882      0.1547682      4.7941212     -0.1956572     -0.4784917      2.3271253      2.6385022      0.1954522      0.2232122      0.2568249
      0.0392075     15.7815053     10.6139203     11.0006048      2.4950285      0.5892796      1.1403102     -0.6180197      1.1132618      2.8015657      7.3197237      0.1587772      4.6442461     -0.2283074     -0.4364577      2.3614786      2.5876727      0.1957528      0.2210361      0.2518638
