 ***********************************
   FLAT-PLATE BOUNDARY LAYER MACH 2 
 ***********************************
 Skin friction        =   3.417213499947759E-003
 Friction Mach number =   8.291730685127277E-002
 ***********************************
 Reynolds numbers:
 ***********************************
 Retau    =   204.807471832453     
 Redelta  =   10215.9741742214     
 Retheta  =   873.357807955901     
 Redelta2 =   556.942311262552     
 ***********************************
 Shape factors:
 ***********************************
 dstar/delta99 =   0.267926153980111     
 theta/delta99 =   8.548942989301017E-002
 H             =    3.13402667809833     
 Hinc          =    1.54444660343047     
 ***********************************
 Wall-normal profiles:              
 ***********************************

      y/delta99          y+            u+             u_vd+         urms+          vrms+           wrms+          uv+      sqrt(rho/rho_w)     prms+          trms+         rhorms+     y+ du_vd+/dy+      S(u)            S(T)           F(u)           F(T)           omx+           omy+           omz+
      0.0675950     13.8439696     10.0894730     10.3131487      2.5270858      0.5256205      1.0604395     -0.5950349      1.0687963      2.3952189      6.7765649      0.0923376      5.0059534     -0.1578904     -0.5184792      2.2416684      2.6415721      0.1864235      0.2238983      0.2633596
      0.0709454     14.5301464     10.3126485     10.5520513      2.5106128      0.5485808      1.0723354     -0.6136752      1.0721436      2.4075670      6.8907196      0.0949969      4.8698350     -0.1926214     -0.4771543      2.2683179      2.5837561      0.1875574      0.2228255      0.2592120
      0.0743335     15.2240614     10.5212711     10.7760615      2.4906519      0.5708969      1.0831865     -0.6303941      1.0753720      2.4219633      6.9861974      0.0974354      4.7329264     -0.2248301     -0.4387618      2.2980762      2.5361834      0.1883865      0.2214402      0.2549722
      0.0777612     15.9260843     10.7165635     10.9863745      2.4678641      0.5924422      1.0930427     -0.6451956      1.0784560      2.4329262      7.0649115      0.0995955      4.5970476     -0.2547080     -0.4030555      2.3302194      2.4973915      0.1889444      0.2197897      0.2506776
      0.0812304     16.6365890     10.8996611     11.1841096      2.4428054      0.6133014      1.1019777     -0.6583790      1.0814302      2.4454491      7.1286714      0.1015682      4.4635700     -0.2824217     -0.3698007      2.3641489      2.4660909      0.1892637      0.2179145      0.2463551
      0.0847428     17.3559537     11.0716105     11.3703050      2.4159607      0.6333735      1.1100398     -0.6699523      1.0842712      2.4548229      7.1791526      0.1033033      4.3335101     -0.3081225     -0.3387791      2.3993515      2.4411507      0.1893672      0.2158497      0.2420251
      0.0883003     18.0845617     11.2333717     11.5459200      2.3877357      0.6527347      1.1172909     -0.6801842      1.0870155      2.4653597      7.2179023      0.1048843      4.2075888     -0.3319330     -0.3097877      2.4353948      2.4215676      0.1892833      0.2136259      0.2377014
      0.0919049     18.8228009     11.3858205     11.7118343      2.3584824      0.6713052      1.1237763     -0.6890789      1.0896401      2.4730276      7.2463261      0.1062665      4.0862276     -0.3539562     -0.2826457      2.4719079      2.4064785      0.1890343      0.2112700      0.2333926
      0.0955584     19.5710645     11.5297516     11.8688504      2.3284919      0.6891537      1.1295489     -0.6968690      1.0921822      2.4815426      7.2657021      0.1075255      3.9696618     -0.3742711     -0.2572039      2.5085867      2.3951520      0.1886449      0.2088053      0.2291063
      0.0992627     20.3297511     11.6658857     12.0176994      2.2980137      0.7062170      1.1346552     -0.7035526      1.0946186      2.4874564      7.2771726      0.1086208      3.8580510     -0.3929475     -0.2333504      2.5451811      2.3870106      0.1881352      0.2062519      0.2248580
      0.1030200     21.0992646     11.7948769     12.1590483      2.2672514      0.7225558      1.1391476     -0.7093264      1.0969860      2.4939639      7.2817464      0.1096197      3.7514194     -0.4100439     -0.2110015      2.5814770      2.3816085      0.1875222      0.2036270      0.2206597
      0.1068321     21.8800150     11.9173170     12.2935026      2.2363794      0.7381195      1.1430804     -0.7141827      1.0992613      2.4981130      7.2802949      0.1104852      3.6497749     -0.4256090     -0.1900870      2.6172644      2.3785959      0.1868102      0.2009463      0.2165179
      0.1107011     22.6724179     12.0337460     12.4216177      2.2055379      0.7529611      1.1465085     -0.7182870      1.1014805      2.5026462      7.2735749      0.1112755      3.5531771     -0.4396759     -0.1705395      2.6523349      2.3776901      0.1860026      0.1982236      0.2124368
      0.1146291     23.4768954     12.1446576     12.5439034      2.1748434      0.7670408      1.1494875     -0.7216295      1.1036202      2.5050349      7.2622389      0.1119561      3.4616487     -0.4522695     -0.1522841      2.6864968      2.3786394      0.1850977      0.1954716      0.2084197
      0.1186181     24.2938760     12.2505048     12.6608294      2.1443871      0.7804058      1.1520644     -0.7243508      1.1057160      2.5076437      7.2468558      0.1125773      3.3752015     -0.4634156     -0.1352374      2.7196033      2.3811971      0.1840939      0.1927010      0.2044668
      0.1226703     25.1237947     12.3517042     12.7728298      2.1142457      0.7930266      1.1542832     -0.7264399      1.1077440      2.5083145      7.2279246      0.1131073      3.2938818     -0.4731520     -0.1193131      2.7515715      2.3851280      0.1829871      0.1899220      0.2005776
      0.1267878     25.9670936     12.4486416     12.8803083      2.0844800      0.8049473      1.1561693     -0.7280129      1.1097389      2.5091025      7.2058960      0.1135900      3.2176961     -0.4815370     -0.1044287      2.7823576      2.3902257      0.1817780      0.1871432      0.1967491
      0.1309729     26.8242217     12.5416726     12.9836386      2.0551419      0.8161497      1.1577432     -0.7290546      1.1116764      2.5081716      7.1811776      0.1139971      3.1466181     -0.4886414     -0.0905040      2.8118839      2.3963034      0.1804748      0.1843724      0.1929770
      0.1352277     27.6956355     12.6311283     13.0831700      2.0262705      0.8266774      1.1590092     -0.7296572      1.1135900      2.5073213      7.1541526      0.1143679      3.0807172     -0.4945334     -0.0774651      2.8399904      2.4031690      0.1790991      0.1816166      0.1892665
      0.1395545     28.5817991     12.7173197     13.1792322      1.9978949      0.8365219      1.1599815     -0.7298005      1.1154550      2.5049805      7.1251840      0.1146777      3.0201434     -0.4992738     -0.0652508      2.8665064      2.4106508      0.1776706      0.1788822      0.1856390
      0.1439556     29.4831845     12.8005419     13.2721397      1.9700373      0.8457238      1.1606689     -0.7295564      1.1173042      2.5027128      7.0946033      0.1149618      2.9650279     -0.5029406     -0.0538147      2.8913615      2.4186240      0.1762008      0.1761755      0.1821155
      0.1484334     30.4002717     12.8810744     13.3621919      1.9427242      0.8542776      1.1610949     -0.7289045      1.1191128      2.4991401      7.0626782      0.1151981      2.9155523     -0.5056327     -0.0430993      2.9146050      2.4269963      0.1746980      0.1735020      0.1787065
      0.1529903     31.3335491     12.9591859     13.4496778      1.9159829      0.8622176      1.1612719     -0.7279067      1.1209127      2.4956104      7.0296165      0.1154165      2.8718153     -0.5074571     -0.0330210      2.9363198      2.4356706      0.1731670      0.1708658      0.1754060
      0.1576286     32.2835137     13.0351284     13.5348697      1.8898401      0.8695412      1.1612199     -0.7265479      1.1226791      2.4909165      6.9955950      0.1155960      2.8337487     -0.5085032     -0.0234894      2.9565413      2.4445328      0.1716086      0.1682699      0.1722059
      0.1623509     33.2506715     13.1091379     13.6180240      1.8643127      0.8762795      1.1609431     -0.7248804      1.1244429      2.4862504      6.9607887      0.1157630      2.8011487     -0.5088366     -0.0144402      2.9752378      2.4534760      0.1700268      0.1657163      0.1691047
      0.1671596     34.2355376     13.1814300     13.6993751      1.8394119      0.8824348      1.1604572     -0.7228885      1.1261793      2.4805629      6.9253579      0.1158990      2.7736805     -0.5084930     -0.0058410      2.9923728      2.4624509      0.1684216      0.1632071      0.1660953
      0.1720574     35.2386364     13.2522020     13.7791385      1.8151393      0.8880357      1.1597659     -0.7206110      1.1279184      2.4749049      6.8894166      0.1160271      2.7510626     -0.5074962      0.0023274      3.0079764      2.4714455      0.1667876      0.1607448      0.1631702
      0.1770468     36.2605021     13.3216346     13.8575124      1.7914863      0.8930868      1.1588778     -0.7180291      1.1296351      2.4683419      6.8530146      0.1161296      2.7330399     -0.5058772      0.0100753      3.0221365      2.4804439      0.1651146      0.1583319      0.1603335
      0.1821305     37.3016791     13.3898940     13.9346795      1.7684331      0.8976131      1.1577702     -0.7151729      1.1313585      2.4617930      6.8161587      0.1162256      2.7193480     -0.5036821      0.0173975      3.0348692      2.4894327      0.1634098      0.1559690      0.1575962
      0.1873111     38.3627217     13.4571313     14.0108063      1.7459569      0.9016199      1.1564139     -0.7120327      1.1330637      2.4544263      6.7788404      0.1162985      2.7096155     -0.5009325      0.0242953      3.0460657      2.4984177      0.1617048      0.1536557      0.1549631
      0.1925916     39.4441951     13.5234819     14.0860426      1.7240376      0.9051261      1.1547710     -0.7086426      1.1347791      2.4470639      6.7410659      0.1163655      2.7035110     -0.4976442      0.0307971      3.0556451      2.5074311      0.1600259      0.1513922      0.1524327
      0.1979746     40.5466752     13.5890699     14.1605264      1.7026647      0.9081350      1.1528439     -0.7049964      1.1364797      2.4389745      6.7028568      0.1164119      2.7009244     -0.4938612      0.0369645      3.0636712      2.5164658      0.1583612      0.1491794      0.1499992
      0.2034630     41.6707492     13.6540144     14.2343901      1.6818352      0.9106600      1.1506497     -0.7011165      1.1381936      2.4308915      6.6642666      0.1164540      2.7019092     -0.4896706      0.0428535      3.0703607      2.5254637      0.1566852      0.1470172      0.1476625
      0.2090598     42.8170157     13.7184305     14.3077629      1.6615589      0.9127057      1.1482261     -0.6969904      1.1398965      2.4221462      6.6253831      0.1164802      2.7064279     -0.4852007      0.0484849      3.0761510      2.5344484      0.1549811      0.1449044      0.1454231
      0.2147680     43.9860851     13.7824239     14.3807638      1.6418566      0.9142854      1.1455934     -0.6926334      1.1416165      2.4133781      6.5862918      0.1165070      2.7139973     -0.4806162      0.0538617      3.0815889      2.5435103      0.1532339      0.1428397      0.1432493
      0.2205905     45.1785802     13.8460812     14.4534906      1.6227493      0.9154105      1.1427627     -0.6880375      1.1433296      2.4039924      6.5470332      0.1165233      2.7239193     -0.4760537      0.0590155      3.0869669      2.5527266      0.1514554      0.1408232      0.1410872
      0.2265305     46.3951359     13.9094746     14.5260250      1.6042261      0.9160997      1.1397160     -0.6832141      1.1450629      2.3945851      6.5076265      0.1165420      2.7360420     -0.4715566      0.0640292      3.0920817      2.5620449      0.1496826      0.1388535      0.1389265
