 ***********************************
   FLAT-PLATE BOUNDARY LAYER MACH 2 
 ***********************************
 Skin friction        =   2.106888482132741E-003
 Friction Mach number =   6.491828501950166E-002
 ***********************************
 Reynolds numbers:
 ***********************************
 Retau    =   1113.37487362907     
 Redelta  =   70512.5074555567     
 Retheta  =   6044.09128789443     
 Redelta2 =   3854.33111808456     
 ***********************************
 Shape factors:
 ***********************************
 dstar/delta99 =   0.250159334673608     
 theta/delta99 =   8.571658427696616E-002
 H             =    2.91844730846129     
 Hinc          =    1.36235815618775     
 ***********************************
 Wall-normal profiles:              
 ***********************************

      y/delta99          y+            u+             u_vd+         urms+          vrms+           wrms+          uv+      sqrt(rho/rho_w)     prms+          trms+         rhorms+     y+ du_vd+/dy+      S(u)            S(T)           F(u)           F(T)           omx+           omy+           omz+

      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      1.0000000      2.9211736      0.0000204      0.0172353      0.0000000      1.0961172     -1.3180828      5.1475607      6.4214664      0.2693239      0.0000000      0.4257685
      0.0006667      0.7423023      0.7431175      0.7432574      0.3150966      0.0083215      0.1936534     -0.0007915      1.0003766      2.9072608      0.3395245      0.0161023      0.8300206      1.0961172     -1.3180828      5.1475607      6.4214664      0.2435197      0.0252469      0.4226898
      0.0013336      1.4847487      1.4856264      1.4863581      0.6261636      0.0250507      0.3573204     -0.0049091      1.0012176      2.9149804      0.7434772      0.0153152      1.4596631      1.1113544     -1.6879227      5.1097345     11.0203427      0.2017336      0.0504755      0.4194342
      0.0020007      2.2274831      2.2247574      2.2268487      0.9311277      0.0485184      0.4931540     -0.0151430      1.0024612      2.9056310      1.1842072      0.0151099      2.2120008      1.0945770     -1.9313545      4.9148456     11.6030664      0.1715650      0.0752464      0.4134070
      0.0026681      2.9706496      2.9554880      2.9599793      1.2241907      0.0776188      0.6068165     -0.0338782      1.0041077      2.9187684      1.6812545      0.0159819      2.9066796      1.0420737     -2.0309335      4.5723502     11.3306108      0.1511298      0.0987743      0.4014474
      0.0033362      3.7143925      3.6712818      3.6794299      1.4980306      0.1092277      0.7020593     -0.0616048      1.0061096      2.9172396      2.2322264      0.0177757      3.5458587      0.9623380     -2.0136243      4.1629673     10.4239383      0.1404840      0.1202981      0.3842531
      0.0040048      4.4588560      4.3651636      4.3783602      1.7462471      0.1431018      0.7828991     -0.0979032      1.0084420      2.9360037      2.8205845      0.0205747      4.1092747      0.8669029     -1.9242440      3.7608942      9.2631621      0.1379796      0.1392983      0.3645212
      0.0046742      5.2041846      5.0307444      5.0504209      1.9647989      0.1773405      0.8518660     -0.1407729      1.0110294      2.9410307      3.4243853      0.0239072      4.5829560      0.7656876     -1.8007380      3.4076645      8.1213456      0.1408578      0.1555621      0.3451613
      0.0053446      5.9505228      5.6629071      5.6904413      2.1520972      0.2122826      0.9116591     -0.1883716      1.0138301      2.9640412      4.0231950      0.0277030      4.9607178      0.6653149     -1.6670578      3.1172940      7.1205919      0.1464899      0.1691143      0.3281988
