 ***********************************
   FLAT-PLATE BOUNDARY LAYER MACH 2 
 ***********************************
 Skin friction        =   2.241395340719570E-003
 Friction Mach number =   6.695702532030173E-002
 ***********************************
 Reynolds numbers:
 ***********************************
 Retau    =   898.501216595795     
 Redelta  =   55170.1999476843     
 Retheta  =   4747.12011980830     
 Redelta2 =   3027.24957773371     
 ***********************************
 Shape factors:
 ***********************************
 dstar/delta99 =   0.251584940741313     
 theta/delta99 =   8.604500480893321E-002
 H             =    2.92387618897772     
 Hinc          =    1.37229152322326     
 ***********************************
 Wall-normal profiles:              
 ***********************************

      y/delta99          y+            u+             u_vd+         urms+          vrms+           wrms+          uv+      sqrt(rho/rho_w)     prms+          trms+         rhorms+     y+ du_vd+/dy+      S(u)            S(T)           F(u)           F(T)           omx+           omy+           omz+

      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      1.0000000      2.8394845      0.0000166      0.0178221      0.0000000      1.1043805     -1.3134610      5.2184037      6.7659409      0.2680566      0.0000000      0.4228372
      0.0008521      0.7656313      0.7665265      0.7666820      0.3227026      0.0089510      0.1985966     -0.0008723      1.0004055      2.8245068      0.3460758      0.0165707      0.8561686      1.1043805     -1.3134610      5.2184037      6.7659409      0.2415571      0.0261608      0.4196246
      0.0017044      1.5314111      1.5323107      1.5331313      0.6410112      0.0266050      0.3654786     -0.0053939      1.0013317      2.8326994      0.7573963      0.0157280      1.5053243      1.1179757     -1.7128131      5.1639100     11.5113220      0.1988663      0.0522859      0.4161809
      0.0025570      2.2974881      2.2942085      2.2965696      0.9524488      0.0512581      0.5030807     -0.0165788      1.0027123      2.8226830      1.2083146      0.0155684      2.2796566      1.0957765     -1.9655007      4.9280809     12.1828483      0.1685442      0.0778733      0.4096140
      0.0034101      3.0640108      3.0465630      3.0516547      1.2504813      0.0817300      0.6175627     -0.0369305      1.0045463      2.8367453      1.7182232      0.0166552      2.9914779      1.0355462     -2.0509982      4.5410858     11.6786863      0.1487195      0.1020569      0.3968488
      0.0042639      3.8311279      3.7821011      3.7913575      1.5271701      0.1146780      0.7129743     -0.0667934      1.0067778      2.8352878      2.2823801      0.0187788      3.6415653      0.9480138     -2.0100834      4.1004702     10.4782520      0.1392194      0.1240228      0.3789483
      0.0051185      4.5989883      4.4931907      4.5081901      1.7758590      0.1498773      0.7936036     -0.1055268      1.0093750      2.8555106      2.8817287      0.0219885      4.2083794      0.8459919     -1.8988258      3.6833461      9.1094860      0.1379547      0.1432378      0.3589150
      0.0059741      5.3677409      5.1729972      5.1953469      1.9926253      0.1853222      0.8620891     -0.1508124      1.0122497      2.8611989      3.4924925      0.0257345      4.6778606      0.7397257     -1.7590742      3.3272454      7.8578315      0.1418454      0.1595090      0.3397497
      0.0068309      6.1375350      5.8162151      5.8474416      2.1762345      0.2214092      0.9212343     -0.2005980      1.0153516      2.8859846      4.0933310      0.0299339      5.0447894      0.6356639     -1.6144896      3.0412428      6.8138781      0.1481838      0.1728980      0.3233912
      0.0076889      6.9085197      6.4193870      6.4608481      2.3277467      0.2568370      0.9725900     -0.2521781      1.0185840      2.8966245      4.6673534      0.0341583      5.3118665      0.5374181     -1.4764671      2.8206026      5.9756284      0.1551728      0.1836326      0.3104940
      0.0085485      7.6808448      6.9808476      7.0336749      2.4496136      0.2921803      1.0178733     -0.3039312      1.0219039      2.9238716      5.2032859      0.0384288      5.4876049      0.4466879     -1.3495805      2.6556833      5.3114057      0.1618466      0.1920170      0.3007357
      0.0094097      8.4546600      7.5004813      7.5655540      2.5451571      0.3264990      1.0579090     -0.3539508      1.0252271      2.9373619      5.6943888      0.0424601      5.5839150      0.3640585     -1.2351820      2.5360798      4.7868457      0.1677725      0.1983796      0.2933093
      0.0102728      9.2301155      7.9793565      8.0573011      2.6178825      0.3603590      1.0937146     -0.4015619      1.0285317      2.9652670      6.1378862      0.0463501      5.6140525      0.2894529     -1.1330493      2.4523905      4.3722793      0.1728173      0.2030341      0.2873617
      0.0111378     10.0073617      8.4193892      8.5105973      2.6712920      0.3930309      1.1257080     -0.4457212      1.0317526      2.9800286      6.5335165      0.0498983      5.5911932      0.2224371     -1.0422853      2.3966073      4.0437410      0.1769811      0.2062669      0.2822234
      0.0120050     10.7865494      8.8230204      8.9276780      2.7085434      0.4250179      1.1545118     -0.4864877      1.0348900      3.0072904      6.8829694      0.0532409      5.5274442      0.1624281     -0.9616578      2.3623391      3.7819525      0.1803416      0.2083286      0.2774457
      0.0128746     11.5678298      9.1929774      9.3110988      2.7325016      0.4557399      1.1803557     -0.5233819      1.0378957      3.0221857      7.1889247      0.0562233      5.4333815      0.1087815     -0.8899145      2.3444874      3.5718684      0.1829923      0.2094351      0.2727690
      0.0137466     12.3513544      9.5320771      9.6635391      2.7455841      0.4856338      1.2036599     -0.5568686      1.0407873      3.0478600      7.4548133      0.0589963      5.3178118      0.0608773     -0.8258885      2.3391296      3.4019981      0.1850326      0.2097665      0.2680621
      0.0146213     13.1372753      9.8431000      9.9876741      2.7498947      0.5142370      1.2245831     -0.5867543      1.0435281      3.0620194      7.6842495      0.0614313      5.1879001      0.0181184     -0.7685886      2.3431526      3.2637440      0.1865412      0.2094726      0.2632808
      0.0154989     13.9257450     10.1287014     10.2860812      2.7471429      0.5419291      1.2434360     -0.6136576      1.0461474      3.0854194      7.8809755      0.0636810      5.0492343     -0.0200186     -0.7171670      2.3541918      3.1507026      0.1875975      0.2086748      0.2584264
      0.0163794     14.7169164     10.3913607     10.5611857      2.7387869      0.5683423      1.2603439     -0.6374876      1.0486150      3.0982108      8.0485373      0.0656320      4.9061230     -0.0540215     -0.6709142      2.3703773      3.0579929      0.1882714      0.2074731      0.2535286
      0.0172631     15.5109429     10.6333582     10.8152324      2.7259851      0.5938073      1.2755451     -0.6588681      1.0509670      3.1189134      8.1903298      0.0674313      4.7618246     -0.0843076     -0.6292041      2.3903058      2.9817729      0.1886321      0.2059488      0.2486291
      0.0181502     16.3079787     10.8567681     11.0502757      2.7097252      0.6180307      1.2891477     -0.6777244      1.0531763      3.1299395      8.3094273      0.0689750      4.6187924     -0.1112624     -0.5914922      2.4128583      2.9189192      0.1887260      0.2041691      0.2437701
      0.0190408     17.1081784     11.0634654     11.2681820      2.6907870      0.6413005      1.3013406     -0.6946244      1.0552824      3.1477375      8.4086829      0.0704005      4.4787647     -0.1352081     -0.5573019      2.4371704      2.8669868      0.1885919      0.2021877      0.2389791
      0.0199351     17.9116973     11.2551314     11.4706332      2.6698418      0.6633828      1.3122190     -0.7094858      1.0572595      3.1567793      8.4906370      0.0716115      4.3430228     -0.1564427     -0.5262319      2.4625094      2.8239986      0.1882607      0.2000475      0.2342787
      0.0208332     18.7186911     11.4332748     11.6591452      2.6474153      0.6845307      1.3219351     -0.7228066      1.0591482      3.1716380      8.5576037      0.0727347      4.2123788     -0.1752125     -0.4979408      2.4882989      2.7884009      0.1877640      0.1977826      0.2296738
      0.0217354     19.5293165     11.5992372     11.8350713      2.6239624      0.7045588      1.3305809     -0.7344948      1.0609225      3.1786407      8.6115996      0.0736802      4.0873723     -0.1917443     -0.4721471      2.5140729      2.7589737      0.1871211      0.1954224      0.2251573
      0.0226419     20.3437308     11.7542203     11.9996282      2.5998322      0.7236911      1.3382894     -0.7449765      1.0626235      3.1906730      8.6544183      0.0745633      3.9683431     -0.2062228     -0.4486114      2.5394811      2.7347751      0.1863519      0.1929916      0.2207204
      0.0235527     21.1620919     11.8992906     12.1538994      2.5753226      0.7417816      1.3451505     -0.7541500      1.0642241      3.1957041      8.6875831      0.0752996      3.8553955     -0.2188172     -0.4271229      2.5642424      2.7150106      0.1854642      0.1905126      0.2163574
      0.0244680     21.9845587     12.0354016     12.2988568      2.5506511      0.7590291      1.3512720     -0.7623740      1.0657649      3.2051086      8.7124242      0.0759931      3.7485673     -0.2296690     -0.4074865      2.5881630      2.6990020      0.1844684      0.1880041      0.2120760
      0.0253882     22.8112906     12.1634014     12.4353675      2.5259991      0.7753186      1.3567231     -0.7695414      1.0672180      3.2082912      8.7300607      0.0765648      3.6478212     -0.2389230     -0.3895218      2.6111267      2.6861810      0.1833741      0.1854819      0.2078918
