 ***********************************
   FLAT-PLATE BOUNDARY LAYER MACH 2 
 ***********************************
 Skin friction        =   2.761065324902581E-003
 Friction Mach number =   7.436891936483291E-002
 ***********************************
 Reynolds numbers:
 ***********************************
 Retau    =   447.765635649893     
 Redelta  =   24791.8559707960     
 Retheta  =   2081.61280846502     
 Redelta2 =   1327.44937901316     
 ***********************************
 Shape factors:
 ***********************************
 dstar/delta99 =   0.251322274401974     
 theta/delta99 =   8.396357299417564E-002
 H             =    2.99322986671146     
 Hinc          =    1.42525787159296     
 ***********************************
 Wall-normal profiles:              
 ***********************************

      y/delta99          y+            u+             u_vd+         urms+          vrms+           wrms+          uv+      sqrt(rho/rho_w)     prms+          trms+         rhorms+     y+ du_vd+/dy+      S(u)            S(T)           F(u)           F(T)           omx+           omy+           omz+

      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      1.0000000      2.5793229      0.0146245      0.0199718      0.0000000      1.0215256     -1.0409387      4.8187674     16.5334737      0.2588130      0.0000000      0.4098837
      0.0016459      0.7369738      0.7377926      0.7379337      0.3011420      0.0083597      0.1846642     -0.0008052      1.0003823      2.5657885      0.3031539      0.0185859      0.8240777      1.0215256     -1.0409387      4.8187674     16.5334737      0.2335984      0.0250689      0.4068516
      0.0032925      1.4742782      1.4752355      1.4760105      0.5985084      0.0243691      0.3403047     -0.0048372      1.0013371      2.5722248      0.6578778      0.0176176      1.4499767      1.0391641     -1.4099939      4.7832753      9.6586339      0.1927527      0.0501490      0.4040649
      0.0049406      2.2122436      2.2100643      2.2123641      0.8906922      0.0470427      0.4691287     -0.0147669      1.0028129      2.5631704      1.0442086      0.0173628      2.1998779      1.0260766     -1.6880933      4.6113398     10.1341319      0.1630643      0.0748691      0.3994247
      0.0065910      2.9512012      2.9377826      2.9428573      1.1726781      0.0753707      0.5765512     -0.0329876      1.0048134      2.5750743      1.4853320      0.0184459      2.8959433      0.9783812     -1.8278078      4.3078911     10.0880919      0.1428108      0.0985254      0.3896457
      0.0082442      3.6914823      3.6522561      3.6616546      1.4376397      0.1064056      0.6662421     -0.0601577      1.0072901      2.5740255      1.9827279      0.0207228      3.5405184      0.9033731     -1.8418930      3.9401438      9.3812068      0.1324175      0.1204013      0.3749009
      0.0099012      4.4334189      4.3466418      4.3621183      1.6791543      0.1398260      0.7420254     -0.0960182      1.0102160      2.5915848      2.5224728      0.0242996      4.1124825      0.8114539     -1.7729172      3.5730712      8.3608259      0.1305332      0.1399582      0.3574107
      0.0115626      5.1773436      5.0144257      5.0378224      1.8927510      0.1738162      0.8064037     -0.1387159      1.0135049      2.5972244      3.0838080      0.0286211      4.5960511      0.7121015     -1.6617973      3.2462129      7.3222461      0.1344039      0.1569181      0.3398549
      0.0132292      5.9235902      5.6501368      5.6832624      2.0762106      0.2086250      0.8619788     -0.1864186      1.0171028      2.6190482      3.6461159      0.0335709      4.9829949      0.6119589     -1.5352108      2.9748845      6.4009587      0.1412388      0.1712229      0.3242907
      0.0149018      6.6724933      6.2498308      6.2943530      2.2294994      0.2430696      0.9102903     -0.2365819      1.0209054      2.6295061      4.1917882      0.0386739      5.2726568      0.5151965     -1.4078384      2.7601813      5.6316498      0.1490304      0.1829837      0.3116848
      0.0165810      7.4243888      6.8111461      6.8685120      2.3540910      0.2775960      0.9529513     -0.2875106      1.0248574      2.6538704      4.7078715      0.0439030      5.4706290      0.4240968     -1.2867674      2.5965632      5.0061944      0.1566356      0.1924104      0.3020237
      0.0182676      8.1796137      7.3332433      7.4046323      2.4525382      0.3113543      0.9907881     -0.3372396      1.0288612      2.6673542      5.1856999      0.0489335      5.5867604      0.3397384     -1.1750495      2.4761930      4.5040035      0.1634965      0.1997662      0.2947012
      0.0199625      8.9385069      7.8164949      7.9028023      2.5278211      0.3448085      1.0247388     -0.3849164      1.0328803      2.6926974      5.6205343      0.0538257      5.6330825      0.2624363     -1.0735138      2.3911680      4.1026937      0.1694232      0.2053263      0.2889475
      0.0216663      9.7014087      8.2622346      8.3640797      2.5831163      0.3772987      1.0552106     -0.4294054      1.0368361      2.7077110      6.0104886      0.0583555      5.6222929      0.1920677     -0.9819732      2.3343568      3.7823877      0.1743932      0.2093576      0.2840914
      0.0233798     10.4686611      8.6724183      8.7901688      2.6214220      0.4092424      1.0827605     -0.4706111      1.0407169      2.7327468      6.3559276      0.0626362      5.5664986      0.1282859     -0.8997259      2.2998189      3.5265164      0.1784773      0.2121022      0.2796494
      0.0251038     11.2406084      9.0494135      9.1832205      2.6455456      0.4401090      1.1076021     -0.5079885      1.0444644      2.7480794      6.6586076      0.0665042      5.4766469      0.0706296     -0.8259304      2.2826629      3.3218179      0.1817596      0.2137755      0.2753146
      0.0268390     12.0175966      9.3957625      9.5455973      2.6579271      0.4702595      1.1300967     -0.5418929      1.0480883      2.7717961      6.9212771      0.0700983      5.3621344      0.0186147     -0.7596932      2.2790017      3.1578119      0.1843398      0.2145620      0.2709151
      0.0285863     12.7999741      9.7140714      9.8797634      2.6607308      0.4992653      1.1503745     -0.5721040      1.0515458      2.7864990      7.1471452      0.0732905      5.2308224     -0.0282560     -0.7001787      2.2856636      3.0262574      0.1863037      0.2146194      0.2663833
      0.0303464     13.5880920     10.0068734     10.1881437      2.6557629      0.5274383      1.1686830     -0.5991825      1.0548620      2.8081511      7.3396884      0.0762275      5.0888953     -0.0704405     -0.6466123      2.3001405      2.9206698      0.1877489      0.2140787      0.2617097
      0.0321202     14.3823036     10.2765846     10.4730755      2.6445873      0.5544342      1.1851117     -0.6230519      1.0580040      2.8215253      7.5023459      0.0788024      4.9412135     -0.1083685     -0.5983107      2.3204066      2.8359909      0.1887553      0.2130502      0.2569160
